,trade_date,close,open,high,low,vol
6367,19980108,1237.164,1243.121,1250.005,1235.885,4069472.0
6368,19980107,1244.07,1233.956,1244.098,1231.146,5756557.0
6369,19980106,1233.62,1223.73,1233.635,1215.409,5148664.0
6370,19980105,1220.473,1200.948,1220.495,1200.222,4371532.0
6371,19971231,1194.102,1182.253,1195.047,1182.247,3093250.0
6372,19971230,1181.143,1186.139,1193.622,1179.556,2792940.0
6373,19971229,1186.606,1196.297,1198.974,1185.656,3670210.0
6374,19971226,1191.919,1187.752,1194.237,1186.527,4192918.0
6375,19971225,1181.278,1170.561,1181.479,1169.993,3598401.0
6376,19971224,1169.664,1171.735,1173.54,1164.858,3178988.0
6377,19971223,1171.254,1171.902,1176.922,1165.057,3313634.0
6378,19971222,1169.007,1162.682,1169.029,1153.44,4233415.0
6379,19971219,1160.768,1154.703,1161.879,1151.141,3244670.0
6380,19971218,1154.166,1142.1,1159.111,1138.398,3049009.0
6381,19971217,1146.522,1169.644,1169.737,1145.891,3323458.0
6382,19971216,1174.802,1170.462,1174.807,1165.601,3339194.0
6383,19971215,1168.026,1155.72,1168.056,1155.604,3166176.0
6384,19971212,1153.84,1160.221,1165.813,1153.432,2571101.0
6385,19971211,1159.169,1159.054,1159.753,1145.546,2317636.0
6386,19971210,1157.842,1150.476,1158.989,1149.332,2368716.0
6387,19971209,1148.171,1139.806,1148.171,1137.317,2146267.0
6388,19971208,1139.364,1140.547,1143.08,1136.579,2096403.0
6389,19971205,1136.204,1139.477,1144.222,1134.932,2396652.0
6390,19971204,1135.873,1121.803,1137.013,1119.201,2290658.0
6391,19971203,1122.546,1129.777,1130.318,1121.593,1917993.0
6392,19971202,1130.167,1133.59,1139.604,1128.5,1875374.0
6393,19971201,1133.087,1137.588,1139.293,1130.449,2312875.0
6394,19971128,1139.628,1117.569,1139.641,1114.433,2657870.0
6395,19971127,1122.516,1141.77,1141.971,1120.519,2512619.0
6396,19971126,1143.818,1126.596,1143.818,1124.477,2347278.0
6397,19971125,1125.528,1120.864,1131.127,1114.138,3584243.0
6398,19971124,1124.941,1150.416,1150.563,1122.935,2966754.0
6399,19971121,1158.555,1168.968,1169.105,1152.008,2927301.0
6400,19971120,1172.427,1182.739,1189.495,1169.097,3245751.0
6401,19971119,1181.627,1185.103,1191.964,1175.783,2656860.0
6402,19971118,1183.349,1190.261,1193.311,1182.607,2563705.0
6403,19971117,1191.333,1210.677,1213.228,1190.431,2722943.0
6404,19971114,1197.832,1187.351,1208.842,1181.687,3893766.0
6405,19971113,1185.024,1169.704,1185.282,1157.294,2981946.0
6406,19971112,1174.189,1190.014,1193.531,1171.563,2949103.0
6407,19971111,1186.634,1183.418,1187.744,1168.482,2996537.0
6408,19971110,1185.784,1199.368,1202.579,1178.631,3996574.0
6409,19971107,1195.141,1181.776,1195.74,1177.632,3627501.0
6410,19971106,1181.123,1198.658,1203.086,1179.582,4281561.0
6411,19971105,1194.038,1186.095,1194.673,1179.351,4919680.0
6412,19971104,1184.7,1180.865,1190.471,1180.865,2362328.0
6413,19971103,1180.854,1181.162,1185.069,1176.547,2562182.0
6414,19971031,1180.393,1164.913,1181.506,1158.736,3050338.0
6415,19971030,1174.846,1189.265,1207.97,1173.649,4817378.0
6416,19971029,1184.086,1168.225,1188.797,1162.981,3591003.0
6417,19971028,1177.924,1239.585,1241.833,1172.892,5248239.0
6418,19971027,1235.827,1183.647,1235.945,1183.647,6563903.0
6419,19971024,1178.306,1172.884,1179.805,1164.064,3775922.0
6420,19971023,1173.364,1178.983,1186.067,1170.232,4154787.0
6421,19971022,1177.52,1193.701,1203.018,1168.451,6082871.0
6422,19971021,1191.87,1190.495,1192.34,1179.574,4232146.0
6423,19971020,1187.368,1183.744,1191.04,1173.557,4608956.0
6424,19971017,1176.489,1155.422,1180.218,1153.896,4599942.0
6425,19971016,1150.307,1131.4,1151.394,1131.394,3386234.0
6426,19971015,1125.782,1119.108,1129.654,1116.429,2145228.0
6427,19971014,1117.928,1116.299,1118.022,1105.704,1538060.0
6428,19971013,1119.817,1136.429,1138.401,1117.389,1899293.0
6429,19971010,1130.785,1121.338,1131.57,1120.513,1951931.0
6430,19971009,1122.466,1134.591,1138.657,1120.088,2025031.0
6431,19971008,1134.868,1122.968,1140.937,1116.713,2933823.0
6432,19971007,1102.573,1098.294,1102.712,1087.018,1762384.0
6433,19971006,1098.903,1100.7,1105.411,1091.152,1565933.0
